x0,x1
2,10
-0.051,-0.374,-0.603,0.018,-0.135,-0.695,-0.04,0.152
-0.425,0.596,0.87,0.309,0.052,0.381,0.682,0.358
-0.298,-0.408,-0.813,0.769,-0.307,-0.572,0.567,0.415
-0.514,0.584,0.985,-0.506,0.204,0.514,0.035,0.825
-0.347,0.626,0.939,-0.463,-0.875,-0.847,-0.984,0.5
-0.06,0.541,-0.457,-0.687,-0.197,-0.707,-0.581,0.949
-0.938,0.463,-0.886,-0.841,-0.296,0.505,0.662,0.607
-0.719,-0.223,-0.81,-0.548,0.876,0.855,-0.023,0.732
-0.205,0.273,0.677,-0.345,0.81,-0.986,0.147,0.789
-0.639,0.368,-0.118,0.685,-0.767,-0.914,-0.239,0.278
-0.857,0.422,0.542,0.299,0.274
