x0,x1
2,9
-0.979,0.894,-0.168,-0.789,0.605,0.958,-0.618,0.585
-0.717,-0.359,-0.51,0.481,-0.569,0.72,0.846,0.271
-0.718,0.399,0.625,0.012,-0.797,0.738,-0.18,0.115
-0.416,-0.52,-0.704,-0.402,-0.093,-0.87,0.9,0.743
-0.76,-0.072,-0.138,-0.098,-0.777,-0.051,-0.553,0.523
-0.572,0.944,0.695,0.17,0.759,0.873,-0.62,0.898
-0.61,-0.689,-0.223,0.37,-0.769,0.112,-0.992,0.478
-0.616,0.392,0.869,-0.253,0.056,0.892,0.113,0.855
-0.987,0.857,0.824,0.623,-0.135,-0.818,0.091,0.487
-0.071,-0.072,0.127,-0.012,0.065
-0.826,-0.103,-0.367,0.036,0.754
-0.834,-0.762,0.227,0.508,0.444
