x0,x1,x2
3,9
-0.387,-0.321,-0.725,-0.975,-0.632,0.36,-0.632,0.677,-0.137,-0.089,0.224,0.241
-0.883,0.847,0.242,-0.869,-0.952,0.3,0.673,-0.157,-0.99,-0.066,0.794,0.298
-0.478,0.411,0.382,-0.298,0.008,-0.738,0.245,0.333,-0.424,0.46,0.897,0.204
-0.815,0.319,0.892,0.05,-0.039,-0.255,0.715,-0.62,-0.08,0.299,-0.151,0.566
-0.966,-0.042,0.258,-0.724,0.757,-0.689,-0.969,0.303,-0.828,-0.784,-0.431,0.832
-0.012,-0.7,-0.736,0.302,0.719,-0.187,0.731,0.537,0.074,0.703,-0.374,0.165
-0.968,0.936,-0.428,-0.779,-0.491,-0.968,0.062,-0.769,0.117,-0.038,-0.706,0.386
-0.99,-0.916,0.208,-0.274,-0.928,-0.829,0.588,-0.164,-0.617,-0.536,-0.743,0.824
-0.672,-0.621,-0.064,-0.85,0.752,0.195,0.154,-0.015,-0.682,0.629,-0.142,0.662
-0.277,0.943,-0.738,-0.257,-0.225,0.398
-0.234,0.597,-0.104,0.009,-0.381,0.781
-0.01,-0.183,-0.052,0.324,0.255,0.021
-0.977,0.021,0.354,0.114,-0.126,0.548
-0.42,-0.41,0.418,-0.02,-0.824,0.796
