x0,x1,x2
3,6
-0.675,-0.667,-0.711,0.32,0.343,-0.195,0.852,-0.105,-0.152,0.643,0.165,0.944
-0.359,-0.454,0.271,-0.322,-0.717,-0.042,0.443,0.225,0.179,-0.467,-0.65,0.924
-0.144,0.649,-0.38,-0.375,-0.357,-0.889,0.92,-0.824,0.437,-0.784,0.019,0.221
-0.792,0.259,0.517,-0.524,0.613,0.034,0.746,-0.289,-0.656,0.556,0.684,0.299
-0.31,-0.07,0.741,-0.442,0.651,0.089,-0.556,0.255,0.027,0.71,0.529,0.831
-0.794,0.895,-0.696,0.006,-0.333,-0.748,-0.888,-0.889,-0.3,-0.038,-0.214,0.603
-0.684,-0.293,0.318,-0.086,0.35,0.43
-0.619,-0.539,-0.02,0.696,-0.051,0.392
-0.753,0.375,-0.433,0.532,0.269,0.648
-0.737,-0.227,0.511,0.707,0.594,0.678
