x0,x1,x2
3,10
-0.538,-0.559,-0.84,0.065,-0.305,-0.551,-0.657,0.881,-0.713,-0.233,0.463,0.752
-0.834,-0.983,-0.749,-0.848,-0.766,-0.706,0.901,-0.748,0.71,0.964,-0.043,0.986
-0.232,-0.476,-0.97,0.982,-0.053,-0.739,0.411,0.094,0.635,-0.614,-0.955,0.874
-0.278,-0.973,0.651,-0.221,0.041,-0.791,0.215,0.594,-0.711,0.656,-0.474,0.687
-0.96,-0.547,0.58,0.239,-0.69,0.819,0.384,-0.337,-0.036,-0.299,-0.451,0.849
-0.028,0.22,0.462,0.918,0.12,0.41,-0.841,0.895,-0.091,-0.13,0.473,0.651
-0.475,0.164,-0.072,-0.191,-0.541,0.497,-0.632,-0.089,0.583,-0.827,-0.205,0.22
-0.387,0.399,0.691,0.912,-0.811,-0.394,0.769,-0.179,-0.459,0.469,-0.0,0.861
-0.636,0.423,-0.785,0.358,-0.053,-0.146,0.378,-0.19,0.264,-0.062,0.393,0.151
-0.419,0.874,-0.586,0.489,0.925,-0.289,-0.842,0.873,-0.109,0.23,0.024,0.912
-0.094,0.059,-0.897,0.248,0.11,0.843
-0.255,-0.338,-0.032,-0.626,-0.041,0.804
-0.018,-0.06,-0.239,-0.142,-0.315,0.195
