x0,x1
2,9
-0.901,-0.802,-0.832,0.498,0.919,0.016,-0.901,0.5
-0.008,-0.352,-0.418,-0.865,-0.786,-0.171,-0.832,0.794
-0.135,-0.24,-0.168,0.431,0.709,0.479,-0.645,0.486
-0.799,0.35,0.894,-0.422,0.432,-0.744,-0.497,0.39
-0.19,-0.204,0.561,-0.161,0.414,0.78,0.774,0.368
-0.867,-0.763,0.536,-0.323,0.517,-0.113,-0.742,0.932
-0.963,-0.961,0.564,-0.008,0.394,0.526,-0.026,0.341
-0.184,-0.889,-0.521,-0.834,0.736,0.32,-0.712,0.627
-0.045,-0.316,-0.549,-0.978,-0.397,0.364,-0.5,0.385
-0.947,0.52,0.591,0.829,0.685
-0.654,0.368,-0.614,0.131,0.678
-0.692,0.381,-0.163,0.106,0.518
-0.508,0.713,-0.436,-0.041,0.306
