x0,x1
2,9
-0.037,-0.193,0.129,0.734,-0.896,0.389,-0.286,0.955
-0.085,-0.13,-0.278,-0.114,-0.98,0.475,0.156,0.17
-0.244,0.953,0.631,0.352,0.233,-0.765,0.182,0.468
-0.686,0.322,-0.495,-0.937,0.584,0.505,-0.814,0.913
-0.714,-0.927,0.574,-0.908,0.919,0.662,-0.911,0.114
-0.496,-0.628,0.49,0.407,0.705,0.315,-0.822,0.042
-0.918,-0.61,0.461,-0.956,-0.19,-0.331,0.068,0.074
-0.567,-0.66,-0.342,-0.17,-0.561,-0.074,-0.372,0.926
-0.446,0.334,0.104,-0.402,0.734,-0.805,-0.885,0.304
-0.264,0.14,-0.555,-0.042,0.516
-0.926,0.091,0.501,0.305,0.495
