x0,x1
2,10
-0.017,0.996,-0.408,0.517,0.473,-0.853,0.546,0.062
-0.35,-0.922,-0.11,0.447,0.396,-0.059,-0.519,0.902
-0.465,0.288,0.001,0.618,-0.644,-0.055,-0.963,0.418
-0.862,0.738,0.12,-0.97,0.379,0.092,-0.395,0.83
-0.244,0.735,-0.858,-0.237,-0.517,-0.307,0.146,0.865
-0.374,0.532,-0.164,-0.127,-0.557,-0.244,-0.515,0.338
-0.287,-0.622,0.443,-0.535,-0.132,-0.778,0.326,0.519
-0.829,0.278,-0.047,0.865,0.91,-0.546,-0.087,0.762
-0.477,0.829,-0.153,-0.107,0.841,0.613,-0.573,0.042
-0.225,0.603,-0.073,0.748,-0.497,0.702,0.08,0.325
-0.184,-0.034,-0.606,0.464,0.295
-0.78,-0.555,-0.731,0.92,0.977
-0.003,-0.252,0.025,-0.212,0.049
