x0,x1
2,10
-0.89,-0.122,-0.815,0.803,-0.675,-0.133,-0.673,0.499
-0.736,0.512,0.712,0.097,0.59,0.306,-0.388,0.555
-0.852,0.46,-0.79,-0.134,0.761,0.191,0.98,0.457
-0.125,0.68,0.482,-0.757,0.093,-0.143,0.59,0.242
-0.053,-0.344,-0.586,0.089,0.53,0.679,0.086,0.858
-0.729,-0.339,0.422,0.221,-0.438,0.55,0.046,0.825
-0.752,-0.773,-0.42,0.145,0.125,-0.461,-0.45,0.712
-0.963,-0.737,-0.122,0.934,0.651,0.67,0.304,0.716
-0.838,0.351,-0.71,0.186,0.679,-0.066,0.518,0.126
-0.407,0.489,0.6,-0.299,0.035,-0.507,0.518,0.789
-0.598,-0.004,-0.199,0.713,0.444
-0.94,-0.102,-0.173,-0.66,0.92
-0.383,-0.254,-0.132,0.067,0.169
-0.143,-0.039,-0.584,0.719,0.159
