x0,x1
2,10
-0.271,-0.083,0.457,0.742,-0.828,0.072,0.197,0.255
-0.945,0.58,-0.019,-0.59,-0.32,-0.119,0.276,0.969
-0.509,0.932,0.399,-0.1,0.704,0.21,0.499,0.043
-0.229,-0.051,-0.626,0.267,-0.029,-0.212,-0.692,0.031
-0.16,0.982,-0.947,0.952,-0.204,0.422,-0.113,0.197
-0.292,0.858,0.262,0.608,-0.801,0.127,-0.722,0.889
-0.488,0.387,-0.019,-0.143,0.134,0.921,-0.044,0.573
-0.265,0.795,-0.595,-0.426,-0.197,-0.02,-0.22,0.872
-0.772,0.319,-0.319,0.24,-0.285,-0.265,0.724,0.296
-0.7,-0.497,-0.854,-0.725,0.864,-0.88,0.707,0.274
-0.697,0.234,-0.146,0.132,0.574
-0.473,0.456,0.113,0.457,0.858
