x0,x1,x2
3,8
-0.912,-0.437,0.009,0.52,-0.513,-0.542,0.341,0.543,0.652,-0.804,0.713,0.695
-0.973,-0.532,0.498,0.477,0.047,0.837,0.024,0.695,-0.301,0.727,0.028,0.457
-0.611,-0.03,-0.393,0.163,-0.705,0.138,-0.948,-0.551,0.3,0.867,0.027,0.461
-0.021,-0.394,-0.56,-0.086,-0.989,0.651,0.972,-0.535,-0.417,-0.123,-0.064,0.464
-0.301,-0.831,0.606,-0.704,-0.904,-0.677,0.463,0.13,-0.049,-0.366,0.856,0.439
-0.559,-0.485,-0.083,-0.254,-0.705,0.223,0.055,0.074,-0.191,-0.709,0.846,0.594
-0.141,0.513,0.05,0.345,0.18,-0.51,0.757,0.334,-0.688,0.981,0.744,0.046
-0.017,-0.548,-0.821,-0.147,-0.258,0.583,-0.349,-0.899,0.476,0.947,-0.617,0.578
-0.36,0.515,-0.956,-0.84,0.357,0.51
-0.43,0.115,-0.052,0.044,-0.137,0.575
