x0,x1
2,8
-0.677,-0.238,0.467,0.255,0.449,0.674,-0.669,0.716
-0.959,0.948,-0.709,-0.638,-0.136,-0.342,-0.951,0.673
-0.275,-0.521,0.909,-0.947,-0.209,0.587,0.439,0.624
-0.356,-0.187,-0.838,-0.608,0.664,-0.596,-0.817,0.51
-0.652,0.776,0.537,0.056,-0.499,-0.222,0.712,0.336
-0.124,-0.755,0.68,-0.482,-0.205,0.647,-0.958,0.068
-0.985,0.101,-0.258,0.153,-0.844,0.507,-0.837,0.962
-0.527,-0.186,-0.851,0.743,-0.48,-0.241,-0.479,0.186
-0.501,0.538,-0.276,0.756,0.483
-0.58,-0.02,0.402,-0.03,0.962
-0.925,0.079,0.146,0.276,0.063
-0.01,0.108,0.492,-0.383,0.447
