x0,x1,x2
3,9
-0.353,-0.751,-0.862,-0.121,-0.289,-0.347,-0.983,0.554,0.652,0.636,-0.269,0.503
-0.136,0.174,-0.223,0.237,-0.254,-0.949,-0.295,0.925,0.622,-0.812,0.752,0.872
-0.006,-0.684,-0.852,-0.773,-0.636,0.395,-0.985,0.282,-0.713,0.694,0.516,0.617
-0.593,-0.762,0.085,0.827,-0.039,-0.053,-0.844,0.384,-0.543,0.783,-0.284,0.151
-0.521,-0.32,-0.423,0.841,-0.774,0.24,0.21,0.352,-0.766,-0.412,-0.491,0.321
-0.595,0.34,-0.779,0.124,-0.11,0.538,0.421,-0.803,0.055,-0.634,-0.832,0.806
-0.115,0.176,0.091,0.814,-0.404,0.441,-0.242,-0.481,-0.503,-0.594,0.338,0.503
-0.107,-0.604,-0.762,0.665,-0.449,-0.227,0.532,0.678,0.636,0.338,0.443,0.099
-0.181,-0.002,-0.917,-0.016,0.47,-0.235,0.037,0.328,-0.901,0.173,0.83,0.433
-0.681,-0.191,0.6,0.183,-0.007,0.564
-0.897,-0.33,-0.094,-0.222,0.158,0.249
-0.905,-0.158,0.153,0.825,-0.406,0.304
-0.389,0.298,-0.357,-0.022,0.315,0.498
